名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
五彩土豆饼,251622.jpg,土豆 鸡蛋 香菇 胡萝卜 火腿片 菠菜,盐 胡椒粉,,清淡,,,秋季食谱,"['准备好食材，火腿切片、胡萝卜切丁、香菇切片、菠菜切段~', '土豆切丝并加入鸡蛋，搅拌均匀并加入少量盐和胡椒粉~土豆丝不要泡水，因为没有面粉所以需要土豆自身的淀粉~', '不粘锅加油后，放入香菇片，煎到飘出香味后盛放一侧~', '不粘锅加油，倒入土豆丝，摊平让蛋液完整的裹住土豆，小火慢煎1、2分钟~', '将准备好的火腿片、香菇片、胡萝卜丁、菠菜放到土豆饼上，关火盖上锅盖，用水蒸气和锅的余温把菜蒸熟，3分钟就可以啦~']",200,富含碳水化合物、含膳食纤维、维生素C
土豆丝炒饭,301994.jpg,剩米饭 土豆,红椒 蒜 白醋 盐 葱,,酸辣,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['土豆，削皮，切成丝，浸泡水中，去除多余的淀粉；', '热锅入油，放入红椒和蒜，翻炒；', '放入土豆丝，翻炒；', '再放入一小勺的白醋，继续翻炒；', '炒饭用的土豆丝不要太多，多余的可以装其他的盘子里，备用；', '加入，剩饭，如果觉得剩米饭有点硬，可以淋入一小勺的水，焖下，这样就很松软了；', '米饭，都弄碎，翻炒均匀，加入一小勺的盐，搅拌均匀；', '加入葱，就可以出锅了；', '再来一碗汤，很舒服的一人食']",200,富含碳水化合物、含蛋白质、维生素C
焖猪蹄,222565.jpg,猪蹄,油 盐 生抽 白糖 黄豆酱 葱 姜 大蒜 干辣椒 小米椒 青椒 料酒 陈醋,,超辣,,,冬季食谱,"['猪蹄用热水彻底洗净处理干净备好。', '所有的配料切好洗净待用。', '坐锅烧热下油爆香姜蒜出香味。中火放猪蹄下去翻炒2分钟。炒到肉皮缩紧。', '加入清水盖过猪蹄。然后加入生抽，料酒。白糖。黄豆酱。', '放入干辣椒一起大火煮开。', '倒入高压锅里上气后转小火焖15分钟。', '焖好之后锅重新倒回锅里大火收汁。', '加入辣椒和葱白。', '再加入葱段。翻炒均匀后加盐出锅。', '成品。', '成品。']",500,富含胶原蛋白、含脂肪、维生素A、钙元素
水煮龙利鱼,660421.jpg,龙利鱼 金针菇 酸菜 豌豆,姜丝 淀粉 蒜苗 番茄火锅底料,油 盐 料酒 胡椒粉,咸鲜,烧,,,"['金针菇切去底部一截，撕成小把清洗干净。', '豌豆适量、酸菜切丝。', '龙利鱼解冻清洗沥去水。', '切成片。', '加盐、料酒、胡椒粉、姜丝、淀粉拌匀腌制10分钟。', '蒜苗切好备用。', '热锅冷油，放入蒜白和酸菜翻炒。', '加适量番茄火锅底料炒匀。', '加水，放入金针菇烧煮。', '放入豌豆烧煮。', '蔬菜快煮熟时放入龙利鱼烧熟。', '放入蒜苗，酌情加盐调味。', '出锅。']",150,富含蛋白质、含Omega-3脂肪酸
酱鸭腿,236921.jpg,鸭边腿,姜 葱段 大蒜 八角 香叶 黄酒 生抽 老抽 糖 盐 水,,酱香,,,秋季食谱 冬季食谱,"['鸭边腿清洗干净，拔干净残留的短毛，备用。', '锅烧热，把有皮的那一面朝下，开小火，把鸭皮里的鸭油煎出来。出油后，放入姜片，葱段，八角，香叶，大蒜，用鸭油煸出香味。', '加入锅铲这样的1勺黄酒，2勺老抽。', '再加入锅铲这样的1勺老抽。', '加入适量的水，盐，盖上锅盖用小火把鸭腿煮烂。大约30分钟左右，可以打开锅盖，加糖，收干锅里的汤汁。', '汤汁变浓稠后，可以用锅铲把汤汁一勺勺的往鸭腿上浇汁，帮助上色。人不要离开看着锅，汤汁越少越容易糊锅。汤汁不需要完全收干，可以留少量，去掉葱姜等香料，单独盛在小碗里，作为酱鸭腿的蘸料，蘸着吃。', '鸭腿晾凉后再切块可以保持形状。', '成品']",200,富含蛋白质、维生素B、铁元素
孜然烤羊排,248899.jpg,羊排 蒜 葱 姜 香菇 洋葱 彩椒 口蘑 土豆 胡萝卜,香辣酱 蚝油 生抽 盐 糖 辣椒粉 孜然粉 花椒粉 老抽,,中辣,,,冬季食谱,"['羊排洗净，沿着肋间隙切条，葱姜蒜全部剁成末加入羊排中，', '加入3汤匙辣酱，生抽，蚝油，盐，糖，老抽，', '再加入辣椒粉1茶匙，孜然粉1茶匙和花椒粉1/2茶匙，', '调料加入齐全后，戴上手套抓匀，', '将入好调料的羊排放入保鲜袋里，用手给其做个按摩，使裹在羊排上的调料更均匀，放在冰箱里冷藏一夜。（没有时间的，腌半小时以上也可以操作，只是觉得多腌一段时间会更入味儿）', '蔬菜类的处理：胡萝卜和土豆切滚刀块，彩椒切片，口蘑切成片，大一点的香菇切块，小的直接烤，洋葱切丝', '烤盘中铺锡纸，将洋葱洒在锡纸上，', '除洋葱以外的其他蔬菜用1汤匙的香辣酱抓匀，', '裹上香辣酱的蔬菜铺在洋葱上', '将腌好的羊排放在蔬菜上，', '羊排上盖一层锡纸，', '烤箱190度预热10分钟，将烤盘放入烤箱，190度上下火烤45分钟', '上图左图为羊排190度上下火烤了50的样子，不干，但肉质也经软烂，所以，每一阶段烘烤加盖锡纸很重要。', '开始进行第二阶段烘烤，烤箱上下火200度继续烤25，中途翻一次面', '烤箱结束工作，取出羊排，在表面洒上1茶匙辣椒粉和1茶匙孜然粉，点缀香菜即可上桌食用。']",250,富含蛋白质、含铁元素
五花肉炖粉条,504393.jpg,白菜 五花肉 红薯粉条 朝天椒 葱 姜,生抽 盐 鸡精 花生油,,微辣,,东北菜,冬季食谱,"['准备材料。', '五花肉切片，切葱花、朝天椒、姜丝。', '白菜斜刀切片。', '热锅凉油，加入葱姜朝天椒爆出香味。', '加入五花肉小火煸出油。', '改大火加入白菜翻炒，待白菜微微出水变软。', '加入生抽调色、加适量盐，加水、加红薯粉条，水要没过食材，大火烧开，中小火炖七八分钟，粉条软烂加鸡精调味即可出锅。', '上桌了，好吃的五花肉炖粉条，鲜辣q弹。']",300,富含蛋白质、含脂肪、维生素B
红烧猪蹄,228515.jpg,猪蹄 冰糖,八角 花椒粒 干红椒 香叶 生抽 老抽 料酒 盐 味精,,咸甜,,,秋季食谱,"['准备材料', '猪蹄冷水下锅焯', '洗净沥干', '起油锅下冰糖', '小火慢慢煮至冒小泡泡', '下猪蹄炒匀上色', '下香料炒香', '烹入料酒加生抽老抽五香粉炒勻，加入清水沬过猪蹄', '小火慢慢炖1小时至汁浓稠加精盐味精调味再炖5分钟汁收干', '出锅', '成品图']",500,富含胶原蛋白、含脂肪、蛋白质
蛤蜊豆腐汤,346724.jpg,北豆腐 干蛤蜊,姜 白胡椒粉 香菜 盐 味精,,咸鲜,,,夏季食谱,"['主要原料。', '干蛤蜊用温水泡软洗净备用。', '豆腐切小块备用。', '姜片炝锅，放泡好的蛤蜊，煸炒出香味。', '放入热水，大火煮汤。', '煮到汤色变白，放豆腐，放盐继续煮汤，将豆腐煮透入味。', '关火前放入白胡椒粉，味精，香菜即可。', '蛤蜊豆腐汤。']",100,富含蛋白质、含钙、维生素B
香菇火腿蒸蛋羹,261958.jpg,鸡蛋 香菇 火腿肠 荷兰豆,凉水 盐,,清淡,,,春季食谱,"['香菇去蒂，一部分切成片，余下的切碎。', '火腿肠切几片斜片，余下的切碎。', '荷兰豆撕去蒂，切菱形片', '鸡蛋打入碗中加入凉水和盐搅拌均匀后过滤一下。', '加入火腿碎和香菇碎，搅拌均匀，倒入蒸碗中，放上一片香菇片，盖上盖子（或保鲜膜）上锅蒸。', '水开后蒸10分钟，放入火腿片及荷兰豆继续蒸5分钟即可。']",150,富含蛋白质、维生素D、B族维生素
猪肚菇炒鸡片,134129.jpg,猪肚菇 鸡脯肉,黄瓜 黑木耳,,清淡,,,秋季食谱 冬季食谱,"['准备好原材料；', '在鸡片中加入适量的盐、料酒、淀粉和适量的油，搅拌均匀腌制一下；', '准备一碗水淀粉汁：盐、淀粉、胡椒粉和适量的水；', '烧热锅，放入适量的油，加入鸡片翻炒；', '鸡片翻炒变色后下入猪肚菇一起翻炒；', '猪肚菇翻炒得微微发软后加入黑木耳和黄瓜片；', '翻炒一下后加入准备好的碗汁；', '煮开后大火收汁到合适程度，关火撒些葱花：', '盛入碗中。']",150,富含蛋白质、维生素B、铁元素
沸腾虾,223749.jpg,鲜虾 黄豆芽 莴笋 植物油,花椒 藤椒 大料 干辣椒段 桂皮 香叶 丁香 草果 盐 姜 蛋清 郫县豆瓣酱 花雕酒,,麻辣,,,秋季食谱,"['鲜虾去虾线，去头、去壳，然后从虾背处划开，但是不要划断。虾开背以后会更入味。', '然后用蛋清、少许盐、姜片和花雕酒将虾腌制30分钟。', '腌制后的虾开水里煮1-2分钟。虾肉质教鲜嫩，不适合煮太久，开水下锅，大火，锅里水再次滚开就可以马上将虾捞出来。', '小锅里放入大量植物油，冷油放入15克花椒15克藤椒和大料，香叶、桂皮、丁香、草果，小火爆5分钟左右。', '关火后倒入30克的干辣椒。让油的余温来烹出干辣椒的香味和辣味即可。然后将油锅里的香料全部捞出来扔掉。只留油备用。', '锅底少许油炒一下郫县豆瓣酱。', '然后倒入黄豆芽和切段的莴笋翻炒片刻，加入盐。郫县豆瓣酱本身就已经很咸了，这一步盐要酌情添加。', '倒入适量开水再次煮开。', '将第5步炸好的油重新放到火上，小火爆香剩下5个花椒和5克藤椒以及10个干辣椒。', '将炒好的豆芽和莴笋连同汤一起倒入大盆里，然后在铺上煮好的虾。', '将炒好的豆芽和莴笋连同汤一起倒入大盆里，然后在铺上煮好的虾。']",100,富含蛋白质、含维生素A、维生素B、铁元素
香辣铁板豆腐,189257.jpg,豆腐,辣椒粉 蒜末 葱花 葱段 盐 鸡粉 豆瓣酱 生抽 水淀粉,,中辣,,,春季食谱,"['洗好的豆腐切厚片，在切条，最后切成小方块', '热锅注油，烧制六成热，倒入切好的豆腐炸制，其间要小心翻动，豆腐会黏锅，力气太大豆腐会碎', '炸到豆腐金黄色的时候就可以出锅沥干油备用', '大蒜切碎末备用', '准备好辣椒末', '葱洗净切长段备用', '锅内留底油，放入大蒜末和小米辣末炒香，不喜欢辣的可以不放', '转小火放入辣椒粉继续炒香', '再放入少许豆瓣酱，炒匀', '再加入适量的清水，翻炒匀，煮至沸', '再加入适量的鸡粉', '放入适量的盐调味', '在加入少许生抽', '放入炸好的豆腐块', '翻炒均匀，再继续翻炒一分钟', '最后放入调好的水淀粉', '铁板放在煤气罩上面加热备用', '在加热好的铁板上面放入适量油摆上葱段', '盛出炒好的豆腐，装入铁板上面撒上切好的葱花即可', '看着就想吃的感觉有木有', '步骤虽多，但是操作简单，大家可以试试，据某人说味道相当可以']",150,富含蛋白质、含钙、维生素E
腊汁肉夹馍,179744.jpg,精制面粉 五花肉,冰糖 香叶 小茴香 干辣椒 八角 桂皮 发酵粉 食用碱 泡打粉,,微辣,,西北菜 陕西菜,,"['五花肉洗干净用清水浸泡2个小时，浸泡出血水之后，捞出洗净，备用。', '老卤汁提前从冰箱取出解冻。', '取砂锅放入五花肉，老卤汁。', '准备好八角、小茴香、香叶、桂皮。', '准备好干辣椒。', '分别取两个小茶包，将4、5中的香料等装袋。', '将两袋装好香料的茶包一起放入砂锅内。并加入适量的冰糖。', '盖上砂锅，大火烧开小火慢炖3小时之后，不揭开盖子浸泡12个小时捞出五花肉即可。', '取一干净的盆，放入面粉和其他等配料。', '放入清水，用筷子搅拌成柳絮状。', '将面和好后，放入温暖的地方发酵1.5个小时。', '取出发好的面之后，在案板上面搓成长条。', '下8-9个80克左右的剂子。', '取其中一个剂子揉均匀，搓成小长条。', '用擀面杖压出长条的面片状。', '将面片从一头卷起，直立放在案板上。', '用手压平，封口处压好。', '用擀面杖擀成小碗状。', '取一平底锅，稍微加热。把做好的面饼放入平底锅内，一面的中心变成微黄色，翻面。', '烤箱190度预热，将所有做好的面饼放入烤箱内上下火，190度10分钟。']",250,富含蛋白质、含碳水化合物、维生素B
韭菜鸡蛋水饺,335432.jpg,韭菜 鸡蛋 面粉,盐 油,,清淡,,,春季食谱,"['准备好面粉，韭菜，蛎虾，鸡蛋', '韭菜洗好，空水', '蛎虾洗好剥虾仁，抽掉背上的泥线', '面粉边搅拌边加水，部分面粉搅拌成年疙瘩，剩很少干面粉的时候，开始用手和面。', '和好的面放一边醒一下', '鸡蛋炒熟，用铲子铲碎', '虾仁剁碎', '韭菜切碎', '将韭菜，虾仁，鸡蛋加适量盐和油拌在一起。', '和好的面，揉成长条', '一边滚动面，一边切成一个个小剂子', '将小剂子竖起来捏圆，按扁', '用擀面杖把按扁的面擀成面皮', '把馅放在面皮里，将面皮对折一下，捏紧', '在煮锅里加半锅水，水开以后，把水饺下锅，搅动一下，等到水沸腾两分钟，加一碗凉水。搅动一下再煮开，沸腾两分钟，再加一碗凉水。反复三次之后，关火，盛水饺']",150,富含蛋白质、维生素A、铁元素
清炖老母鸡海参汤,245640.jpg,老母鸡,海参 枣 枸杞 盐,,原味,,,秋季食谱,"['新鲜的老母鸡在市场宰杀后回来清洗干净', '干海参提前一天泡发好', '大枣洗干净备用', '锅里加入适冷水覆鸡（鸡很肥美鸡油直接放进锅里炖），放入枸杞，枣和海参和一块生姜开始炖，大火煮开，小火慢炖一个半小时左右（视鸡的大小而定），最后出锅的时候加入少许盐调味！☞不加别的调味品', '成品']",100,富含蛋白质、含维生素B、铁元素
砂锅版广式腊味煲仔饭,305506.jpg,广式腊肠 香菇 小白菜 鸡蛋 大米,味极鲜酱油 蒸鱼豉油 料洒 十三香粉 香油 清水,,原味,,粤菜,,"['大米淘洗干净后，砂锅底部抹油，放入大米，加入1：1.5的水，跟平常烧饭一样的水量，静置半小时以上让米泡透。', '泡米的同时把其它材料准备好。青菜洗净、香菇洗净用刀划十字花、香肠洗净切片，准备的西红柿没用到。', '米泡好后，盖上锅盖中小火烧。', '另起一锅水烧开，把青菜和香菇焯熟后捞出备用。', '烧到米饭出现冒泡小孔后改小火，码入切好的香肠。', '码入香菇，打入鸡蛋，最后码入青菜，动作迅速，', '盖好盖子关火，砂锅余温足以把蛋焖熟。', '焖的同时把所有辅料放入一个碗里，加适量温水调匀。', '焖10分钟左右开盖，沿着锅壁慢慢倒入调好的酱汁，可以听到滋滋的声响', '美味的煲仔饭就好了。', '拌匀出锅就可以开吃了。', '美味的锅巴也要晒一下。']",500,富含碳水化合物、含蛋白质、维生素B
煎饺,211278.jpg,饺子 油 水,生抽 醋 辣椒油 香油,,咸鲜,,,冬季食谱,"['从冷冻室拿出饺子', '锅里放少量的油烧热', '直接放入饺子里面', '煎到底部焦黄就倒入1大碗水里面', '盖上盖子焖煮', '听到锅里吱吱响，揭开盖子水差不多收干了，撒入葱花', '水分收干即可关火出锅了', '准备一小碟蘸料，生抽，醋，辣椒油，香油调匀']",250,富含碳水化合物、含蛋白质、维生素B
韭菜鸡蛋包子创新,368294.jpg,韭菜 鸡蛋 面粉,蒸鱼豉油 蚝油 十三香 姜粉 花椒粉 盐 虾皮 香菇酱 酸奶 发酵粉 香油,,咸鲜,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['酸奶半盒加入面粉中', '鸡蛋一颗加入面粉中', '发酵粉3g加入面粉中，加温水和面软硬适中，发酵2小时，发面的时候开始准备馅料。', '韭菜切沫备用', '5颗鸡蛋打散备用', '锅烧热，倒入花生油，油热后倒入蛋液快速翻炒至断生，蛋液全部凝固后关火，把鸡蛋用锅铲切碎备用。', '香菇酱加入韭菜馅中', '虾皮切沫放入韭菜馅', '香菇酱，虾皮，姜粉，花椒粉，十三香，耗油，盐，蒸鱼豉油，黑胡椒粉，香油一起加入韭菜馅，再加入炒好的碎鸡蛋搅拌均匀', '拌好的韭菜鸡蛋馅', '发好的面，我用面包机和面发面的，比较省事。没有面包机的直接加入酸奶，面粉，温水，一颗鸡蛋，发酵粉，和面盖盖发酵2小时即可。', '把发好的面切成一个个的小面饼，擀皮，包子皮要中间厚，周边薄。', '加馅开始包包子', '包好的包子，不会拧包子的同学可以捏成大饺子的形状，一样好吃。', '凉水上锅，醒发10分钟开火，蒸15分钟，关火后过2分钟开盖把包子取出来。这步是为了防止包子之间沾粘破洞。', '香喷喷的大包子，开吃吧。']",100,富含维生素、含蛋白质
